597.44	240.81	0.69	27.97	0.04	0.03	1537.52
1366.06	294.05	0.66	33.69	0.02	0.02	3515.59
2427.43	350.79	0.71	36.31	0.01	0.01	6247.04
227.59	509.84	1.50	27.91	0.19	0.19	585.71
2023.03	608.25	0.77	31.07	0.01	0.01	5206.33
228.19	767.19	0.89	27.92	0.12	0.08	587.25
78.81	784.51	0.81	24.89	0.25	0.20	202.82
85.99	910.08	0.90	18.12	0.19	0.17	221.30
114.53	933.01	0.89	14.44	0.13	0.13	294.74
608.73	1119.23	0.99	18.95	0.03	0.03	1566.57
279.94	1237.17	1.14	20.08	0.09	0.07	720.44
158.04	1376.68	0.94	13.97	0.09	0.08	406.72
1642.07	1459.79	1.07	29.33	0.02	0.02	4225.91
98.41	1508.09	1.19	9.89	0.13	0.12	253.27
52.02	1660.12	1.18	8.70	0.22	0.17	133.88
141.46	1728.40	1.16	9.72	0.09	0.07	364.05
658.48	1763.40	1.13	17.03	0.03	0.02	1694.62
107.54	1846.23	1.12	8.23	0.09	0.09	276.75
43.44	2446.84	1.15	5.33	0.16	0.12	111.80
52.29	2117.50	1.30	6.00	0.17	0.15	134.58
207.76	2202.98	1.33	10.05	0.07	0.05	534.67
45.01	2446.79	1.18	5.12	0.15	0.12	115.83
396.68	2613.42	1.49	15.23	0.06	0.05	1020.87
